location_slug,location_name,publish,rank,venue_name,venue_url,venue_note,venue_image,venue_image_url,source_note
devon,Devon,1,1,Ash Barton Estate,https://www.ashbarton.com/,"A relaxed North Devon estate venue from the homepage list, suited to full-day weddings and party-style celebrations.",assets/img/locations/venues/ash-barton-estate.webp,https://www.ashbarton.com/media/3589/7r305051.jpg?anchor=center&mode=crop&width=800&height=500&rnd=132804128630000000,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
devon,Devon,1,2,Harbour Hotel Salcombe,https://www.harbourhotels.co.uk/our-hotels/devon/harbour-hotel-salcombe/celebrations-events/weddings,"A waterside Salcombe venue from the homepage list, useful for coastal Devon weddings.",assets/img/locations/venues/harbour-hotel-salcombe.webp,https://media-prod.harbourhotels.co.uk/hhweb-prod-media/media/5nqcev5c/salcombe-harbour-hotel-weddings0.jpg?w=1440&h=1260&g=0.5x0.5&fit=cover&q=85,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
devon,Devon,1,3,Budleigh Salterton,https://www.theholtbarandterrace.co.uk/,"A Plymouth venue from the homepage list, suited to larger functions, private events and evening parties.",assets/img/locations/venues/devon-budleigh-salterton.webp,https://static.wixstatic.com/media/3b8c90_2ad66aa19a5742bd870e52c9c0d28ec1~mv2.png,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
cornwall,Cornwall,1,1,Launcells Barton,https://launcellsbarton.co.uk/," Situated in the stunning Devon countryside, high above the Otter Valley looking out to sea - we are open for food, drinks and private hire. We look forward to welcoming you.",assets/img/locations/venues/launcells-barton.webp,https://launcellsbarton.co.uk/wp-content/uploads/2025/08/IsobelIsaac-020825-202.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
cornwall,Cornwall,1,2,Polhawn Fort,https://polhawnfort.com/,"A dramatic coastal fort venue from the homepage list, close to the Rame Peninsula and South East Cornwall.",assets/img/locations/venues/polhawn-fort.webp,https://static.showit.co/1200/k98gmyHGDAVZxPIm8RFySA/267855/polhawn_with_sun_on_main_face.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
cornwall,Cornwall,1,3,Boconnoc,https://boconnoc.com/weddings-cornwall/,"A private Cornish estate from the homepage list, with house, church and grounds.",assets/img/locations/venues/boconnoc.webp,https://boconnoc.com/wp-content/uploads/2023/07/Boconnoc-14-59-35-1L1A3458-DT.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
dorset,Dorset,1,1,Mapperton House,https://mapperton.com/weddings/,"A country-house and garden venue from the homepage list, useful for Dorset wedding inspiration.",assets/img/locations/venues/mapperton-house.webp,https://mapperton.com/wp-content/uploads/2022/03/the-gardens-mapperton-dorset-wedding-venue-photo-by-paul-underhill-photography.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
dorset,Dorset,1,2,Sopley Mill,https://www.sopleymill.co.uk/weddings/,A riverside mill venue near Christchurch with rustic character.,assets/img/locations/venues/sopley-mill.webp,https://sopleymill.co.uk/wp-content/uploads/2024/09/weddings-featured.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
dorset,Dorset,1,3,The Italian Villa,https://www.theitalianvilla.co.uk/wedding-venue-dorset,A Poole wedding venue set within Compton Acres gardens.,assets/img/locations/venues/dorset-the-italian-villa.webp,https://www.theitalianvilla.co.uk/image/august-chloe-palmer.jpg?size=950&constrain=5x4&quality=80,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
somerset,Somerset,1,1,Brympton House,https://www.brymptonhouse.co.uk/,"A Somerset country-house venue from the homepage list, close to Yeovil.",assets/img/locations/venues/somerset-brympton-house.webp,"https://static.wixstatic.com/media/b3eb01_55377678526a4f27a7626127b86e1945~mv2.jpg/v1/fill/w_1800,h_921,al_c,q_85,enc_auto/b3eb01_55377678526a4f27a7626127b86e1945~mv2.jpg","Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
somerset,Somerset,1,2,Pennard House,https://www.pennardhouse.com/weddings/,A country-house wedding venue near Shepton Mallet and Wells.,assets/img/locations/venues/pennard-house.webp,https://pennardhouse.com/wp-content/uploads/2023/12/HarrietandDom022.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
somerset,Somerset,1,3,Orchardleigh Estate,https://orchardleigh.net/weddings/,A large private estate near Frome with ceremony and accommodation options.,assets/img/locations/venues/orchardleigh-estate.webp,"https://static.wixstatic.com/media/3da331_2b549e8d17f34f029bc079cac8c926de%7Emv2.jpeg/v1/fit/w_2500,h_1330,al_c/3da331_2b549e8d17f34f029bc079cac8c926de%7Emv2.jpeg","Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
bristol,Bristol,1,1,Paintworks Events Space,https://paintworksevents.co.uk/weddings/,A flexible Bristol events space with industrial character.,assets/img/locations/venues/paintworks-events-space.webp,https://www.paintworksevents.co.uk/fileadmin/_processed_/4/6/csm_Gina_Fernandes_Photography_0578_82a4c2e54e.jpg,"Curated local candidate. Check venue suitability, availability and image rights before setting publish=1."
